Id;Number;PriceMultiplier;CarriageId
1;1;1.19;1
2;2;1.07;1
3;3;0.82;1
4;4;1.11;1
5;5;1.05;1
6;6;1.01;1
7;7;1.16;1
8;8;0.82;1
9;9;1.15;1
10;10;0.81;1
11;11;1.08;1
12;12;1.13;1
13;13;0.84;1
14;14;1.19;1
15;15;0.82;1
16;16;0.92;1
17;17;0.86;1
18;18;0.9;1
19;19;0.85;1
20;20;1.19;1
21;21;1.19;1
22;22;1.04;1
23;23;1.04;1
24;24;0.94;1
25;25;0.92;1
26;26;1.08;1
27;27;1.17;1
28;28;1.17;1
29;29;0.82;1
30;30;0.9;1
31;31;1.05;1
32;32;0.99;1
33;33;1.09;1
34;34;1.07;1
35;35;0.95;1
36;36;1.06;1
37;37;1.18;1
38;38;1.02;1
39;39;1.09;1
40;40;0.9;1
41;1;0.99;2
42;2;1.11;2
43;3;0.95;2
44;4;1.09;2
45;5;0.83;2
46;6;0.96;2
47;7;1.09;2
48;8;0.8;2
49;9;0.96;2
50;10;1.07;2
51;11;0.95;2
52;12;1.12;2
53;13;1.11;2
54;14;1.06;2
55;15;0.9;2
56;16;0.94;2
57;17;0.82;2
58;18;1.08;2
59;19;0.99;2
60;20;1.17;2
61;21;1.03;2
62;22;1.18;2
63;23;0.8;2
64;24;1.05;2
65;25;0.95;2
66;26;0.89;2
67;27;0.83;2
68;28;0.96;2
69;29;1.03;2
70;30;0.96;2
71;31;0.94;2
72;32;1.04;2
73;33;1;2
74;34;1.15;2
75;35;1;2
76;36;0.88;2
77;37;0.88;2
78;38;1.14;2
79;39;0.9;2
80;40;1.15;2
81;1;1.18;3
82;2;1.17;3
83;3;1;3
84;4;0.95;3
85;5;1.14;3
86;6;1.13;3
87;7;1.08;3
88;8;0.82;3
89;9;0.97;3
90;10;0.8;3
91;11;1.03;3
92;12;0.89;3
93;13;0.83;3
94;14;1.12;3
95;15;1.06;3
96;16;1;3
97;17;1.1;3
98;18;1.1;3
99;19;0.94;3
100;20;1.13;3
101;21;0.93;3
102;22;0.93;3
103;23;0.96;3
104;24;1.19;3
105;25;0.92;3
106;26;1.11;3
107;27;0.92;3
108;28;1.15;3
109;29;0.85;3
110;30;0.82;3
111;31;0.86;3
112;32;0.88;3
113;33;0.97;3
114;34;1.04;3
115;35;1.19;3
116;36;1.06;3
117;37;0.98;3
118;38;1.05;3
119;39;1.1;3
120;40;1.02;3
121;1;1.01;4
122;2;0.8;4
123;3;1.19;4
124;4;1.03;4
125;5;1.13;4
126;6;0.84;4
127;7;1;4
128;8;1.07;4
129;9;0.89;4
130;10;0.8;4
131;11;0.97;4
132;12;0.97;4
133;13;1;4
134;14;0.96;4
135;15;1.01;4
136;16;1.05;4
137;17;1;4
138;18;1;4
139;19;0.82;4
140;20;0.83;4
141;21;1.01;4
142;22;1.12;4
143;23;1.17;4
144;24;0.94;4
145;25;1.13;4
146;26;0.94;4
147;27;1.11;4
148;28;0.99;4
149;29;1.13;4
150;30;1.19;4
151;31;0.82;4
152;32;0.85;4
153;33;0.8;4
154;34;1.11;4
155;35;0.92;4
156;36;0.92;4
157;37;0.93;4
158;38;1.12;4
159;39;0.86;4
160;40;0.88;4
161;1;0.9;5
162;2;1.04;5
163;3;1.06;5
164;4;0.85;5
165;5;1.04;5
166;6;1.08;5
167;7;1.07;5
168;8;0.81;5
169;9;0.82;5
170;10;0.94;5
171;11;0.85;5
172;12;1.17;5
173;13;1.03;5
174;14;1.07;5
175;15;0.81;5
176;16;1.09;5
177;17;0.83;5
178;18;1.04;5
179;19;1.09;5
180;20;0.98;5
181;21;0.93;5
182;22;0.81;5
183;23;1.14;5
184;24;0.89;5
185;25;1.18;5
186;26;0.92;5
187;27;0.97;5
188;28;1.09;5
189;29;0.84;5
190;30;0.89;5
191;31;0.91;5
192;32;1.08;5
193;33;0.94;5
194;34;1.14;5
195;35;1.12;5
196;36;1.16;5
197;37;0.86;5
198;38;1.11;5
199;39;1.1;5
200;40;0.85;5
201;1;1.07;6
202;2;1.1;6
203;3;0.96;6
204;4;0.99;6
205;5;1.14;6
206;6;0.84;6
207;7;1.01;6
208;8;0.92;6
209;9;1.1;6
210;10;1.03;6
211;11;0.88;6
212;12;1.08;6
213;13;0.82;6
214;14;1.07;6
215;15;1.14;6
216;16;0.89;6
217;17;1.1;6
218;18;0.97;6
219;19;0.86;6
220;20;0.92;6
221;21;0.9;6
222;22;1.18;6
223;23;1.16;6
224;24;1.12;6
225;25;0.82;6
226;26;0.97;6
227;27;1.02;6
228;28;1.08;6
229;29;1.15;6
230;30;0.85;6
231;31;1.02;6
232;32;0.91;6
233;33;1.14;6
234;34;1.04;6
235;35;1.11;6
236;36;1.02;6
237;37;1.04;6
238;38;0.94;6
239;39;0.94;6
240;40;1.13;6
241;1;1.1;7
242;2;0.85;7
243;3;1.19;7
244;4;1.01;7
245;5;0.8;7
246;6;1.02;7
247;7;1.05;7
248;8;1.07;7
249;9;1.19;7
250;10;1.02;7
251;11;0.85;7
252;12;1.09;7
253;13;1.05;7
254;14;0.98;7
255;15;1.14;7
256;16;1.09;7
257;17;1.13;7
258;18;1.04;7
259;19;0.96;7
260;20;0.97;7
261;21;1.02;7
262;22;1.12;7
263;23;0.97;7
264;24;1.04;7
265;25;0.8;7
